id,subject_user,recommendation_time,clicked_user,click_time
235,2f7d4172c98e14504f37635a6f289176,"19:01 24 Apr 2018",ab920a7925a2dd9771f236412cd7babc,"19:01 24 Apr 2018"
329,9f61a6fa0ad74f729df015d2b0456694,"0:01 27 Apr 2018",6bb39136623e243fa0cb21548169c329,"0:02 27 Apr 2018"
338,6d7c6afa2a92e160e3897d4340b53831,"10:15 27 Apr 2018",6bb39136623e243fa0cb21548169c329,"10:16 27 Apr 2018"
340,3cac40ce4875d335f8d701062327c9ee,"10:27 27 Apr 2018",3a00c602c460ce5725fc7dcd067a3359,"10:27 27 Apr 2018"
368,dc71ea08d7176c2a4aed4326624ae2c5,"23:36 27 Apr 2018",3a00c602c460ce5725fc7dcd067a3359,"23:37 27 Apr 2018"
368,dc71ea08d7176c2a4aed4326624ae2c5,"23:36 27 Apr 2018",3a00c602c460ce5725fc7dcd067a3359,"23:37 27 Apr 2018"
387,2e749aa5e4f077500946db37889498ea,"11:56 28 Apr 2018",2d8f0b24408d5cee404c2e270dd282ca,"11:56 28 Apr 2018"
409,ed7faefb4e793e3429bd97d720bb2b0c,"21:50 28 Apr 2018",e91d0fb67b18571d5eab2b2d3bd01d43,"21:50 28 Apr 2018"
442,6d96d78bce958615e727152f995bd041,"1:57 30 Apr 2018",e4225d6fd5f511c413a9415f8e081e59,"2:00 30 Apr 2018"
466,3cac40ce4875d335f8d701062327c9ee,"11:20 30 Apr 2018",5d7ebca4616338ec94b0c0e29547684d,"11:20 30 Apr 2018"
468,3cac40ce4875d335f8d701062327c9ee,"11:22 30 Apr 2018",e4225d6fd5f511c413a9415f8e081e59,"11:22 30 Apr 2018"
475,150c559e9c48edd73fdce44e85f2a687,"12:40 30 Apr 2018",5d7ebca4616338ec94b0c0e29547684d,"12:41 30 Apr 2018"
476,150c559e9c48edd73fdce44e85f2a687,"12:43 30 Apr 2018",950c8148b4c7703590bbe92d54ca1ef7,"12:43 30 Apr 2018"
482,703459d5a6b9ac1882cedb227f766e51,"14:02 30 Apr 2018",f3abe9d7049d18069274d7808aecbfe1,"14:03 30 Apr 2018"
493,d975cbfe8133f1d3b4e7435b32fe349a,"16:13 30 Apr 2018",3cac40ce4875d335f8d701062327c9ee,"16:13 30 Apr 2018"
